category,count,pledged,backers_count
Tech & Innovation,16,93122798,2314.0
Community,3423,28211796,160532.0
Social Enterprise,992,19132960,40484.0
Creative & Arts,1057,19040335,49485.0
Entertainment,574,17772337,39677.0
Music,495,17486098,25967.0
Community shares,354,16846101,15717.0
Home,24,14657820,4072.0
Fashion & Wearables,27,10256149,1885.0
Travel & Outdoors,33,9311959,5728.0
Productivity,13,8320368,1934.0
Health & Fitness,35,7950539,3210.0
Camera Gear,7,5336247,341.0
Sports,1379,5185449,78743.0
Charities,1770,4988400,81822.0
Audio,7,4892506,2080.0
Health & fitness,1025,3979500,43738.0
Environment,1099,3790968,41791.0
Phones & Accessories,13,3708194,2256.0
Personal Causes,1483,3462297,68792.0
