name,goal,pledged_goal_ratio
Jacopo's birthday for Keep Caversham Tidy,1,1309.0
tevaplanter,20000,384.0331
RingConn Smart Ring: Smartest Wearable for You,5000,263.7386
SANDSARA,7000,191.03528571428572
StarryHub -  Best Wireless Smart LED Projector,500,172.024
WIN signed Ladapo or Davis boots,250,169.34
Dride 4K - Next gen connected dashcam,10000,152.1878
Erlas Welsh Summer Biodiversity Extravaganza,500,139.84
Cost Of Living Emergency Fund,5000,139.2776
Nanobag 4.0 - The ultimate reusable shopping bag,40000,130.44365
Posture-Perfect in Seconds: Self-Balance Chair,700,122.13142857142857
VELO Luggage: 3-in-1 Expandable Hardside Luggage,10000,117.1586
Girls basketball Greater Manchester - all ages,500,111.04
The Mount Pleasant Lane School Fundraiser,1000,104.976
Workington Unit Ongoing Costs,100,104.0
A Real Working INVISIBILITY SHIELD,5000,100.934
Sponsored dance wiggle!!,100,97.6
Kevin's Leaving Gift,10,95.2
OutpostX: Ancient-Future Hotel on a 240 Acre Playa,10000,95.0666
Nanobag 3.0 - The ultimate reusable shopping bag,7000,93.01142857142857
